Alimentos,Categoria
Músculo não especificado,Carnes e vísceras
Ossada não especificada,Carnes e vísceras
Carne de segunda ,Carnes e vísceras
Contrafilé orgânico,Carnes e vísceras
Bisteca orgânica,Carnes e vísceras
Cabeça de lombo (carne bovina) orgânica,Carnes e vísceras
Tatu (lagarto redondo) orgânico,Carnes e vísceras
"Peixe de mar (inteiro, em posta, em filé, etc.)  ",Pescados e frutos do mar
"Peixe de mar salgado (inteiro, em posta, em filé, etc.) ",Pescados e frutos do mar
Camarão,Pescados e frutos do mar
Camarão ,Pescados e frutos do mar
Siri,Pescados e frutos do mar
Bau (siri),Pescados e frutos do mar
Goiá,Pescados e frutos do mar
Caranguejo,Pescados e frutos do mar
Guaiamu,Pescados e frutos do mar
Marisco,Pescados e frutos do mar
Ostra,Pescados e frutos do mar
Lula,Pescados e frutos do mar
Sururu,Pescados e frutos do mar
Bacalhau,Pescados e frutos do mar
Ovas de peixe (qualquer espécie),Pescados e frutos do mar
"Peixe de água doce (inteiro, em posta, em filé, etc.) ",Pescados e frutos do mar
"Peixe de água doce salgado (inteiro, em posta, em filé, etc.) ",Pescados e frutos do mar
Tracajá,Pescados e frutos do mar
"Peixe não especificado (inteiro, em posta, em filé, etc.)",Pescados e frutos do mar
"Peixe não especificado salgado (inteiro, em posta, em filé, etc.)",Pescados e frutos do mar
Azeitona,Enlatados e conservas
Ervilha em conserva,Enlatados e conservas
Petit-pois,Enlatados e conservas
Milho verde em conserva,Enlatados e conservas
Palmito em conserva,Enlatados e conservas
Cogumelo em conserva,Enlatados e conservas
Champignon em conserva,Enlatados e conservas
Aspargo em conserva,Enlatados e conservas
Repolho em conserva,Enlatados e conservas
Chucrute,Enlatados e conservas
Legume não especificado em conserva,Enlatados e conservas
Creme de cebola (sopa desidratada),Enlatados e conservas
Creme de legumes (sopa desidratada),Enlatados e conservas
Yakissoba ,Enlatados e conservas
Milho verde com ervilha em conserva,Enlatados e conservas
Feijoada,Enlatados e conservas
Feijão branco com dobradinha em conserva,Enlatados e conservas
Cozido,Enlatados e conservas
Pasta de carne em conserva,Enlatados e conservas
Pasta de presunto em conserva,Enlatados e conservas
Pasta de galinha em conserva,Enlatados e conservas
Carne bovina em conserva,Enlatados e conservas
Almôndega ,Enlatados e conservas
Kitute bovino,Enlatados e conservas
Almôndega ao molho em conserva,Enlatados e conservas
Kitute suíno,Enlatados e conservas
Presuntada,Enlatados e conservas
Fiambre ,Enlatados e conservas
Salsicha em conserva,Enlatados e conservas
Sardinha em conserva,Enlatados e conservas
Atum em conserva,Enlatados e conservas
Pepino em conserva,Enlatados e conservas
Pasta de peixe em conserva,Enlatados e conservas
Picles,Enlatados e conservas
Nabo em conserva,Enlatados e conservas
Strogonoff ,Enlatados e conservas
Salmão em conserva,Enlatados e conservas
Creme de cebola (sopa desidratada) light,Enlatados e conservas
Creme de legumes (sopa desidratada) light,Enlatados e conservas
Yakissoba (sopa de legumes desidratada) light,Enlatados e conservas
Atum em conserva light,Enlatados e conservas
Frango inteiro,Aves e ovos  
Parte de galinha ou frango não especificada,Aves e ovos  
Frango em pedaços,Aves e ovos  
Galinha em pedaços ,Aves e ovos  
Carne de galinha ,Aves e ovos  
Peito de galinha ou frango,Aves e ovos  
Filé de frango,Aves e ovos  
Carcaça de galinha ou frango,Aves e ovos  
Asa de galinha ou frango,Aves e ovos  
Drumete de galinha ou frango,Aves e ovos  
Pescoço de galinha ou frango,Aves e ovos  
Pé de galinha ou frango,Aves e ovos  
Miúdo de galinha ou frango ,Aves e ovos  
Moela de galinha ou frango,Aves e ovos  
Coração de frango,Aves e ovos  
Fígado de galinha ou frango,Aves e ovos  
Canja ,Aves e ovos  
Peru em pedaço não especificado,Aves e ovos  
Peito de peru,Aves e ovos  
Asa de peru,Aves e ovos  
Chester ,Aves e ovos  
Tender,Aves e ovos  
Nambu ,Aves e ovos  
Nuggets de frango,Aves e ovos  
Steak de frango,Aves e ovos  
Codorna,Aves e ovos  
Pé e asa de galinha ou frango,Aves e ovos  
Ovo de galinha,Aves e ovos  
Ovo de codorna,Aves e ovos  
"Galinha-d'angola abatida, congelada ou viva",Aves e ovos  
Capote ,Aves e ovos  
Mutum ,Aves e ovos  
Pato em pedaços,Aves e ovos  
Peito de pato,Aves e ovos  
Carne de pato ,Aves e ovos  
Peito de peru light,Aves e ovos  
Frango inteiro orgânico,Aves e ovos  
Filé de frango orgânico,Aves e ovos  
Leite de vaca integral,Laticínios
Leite de vaca fresco ,Laticínios
Leite de cabra,Laticínios
Leite em pó integral,Laticínios
Leite em pó desnatado,Laticínios
Leite em pó ,Laticínios
Leite condensado,Laticínios
Leite beijinho,Laticínios
Creme de leite,Laticínios
Chantilly,Laticínios
Iogurte de qualquer sabor,Laticínios
Iogurte desnatado,Laticínios
Iogurte natural,Laticínios
Yakult de qualquer sabor,Laticínios
Bebida láctea,Laticínios
Leite fermentado,Laticínios
Coalhada,Laticínios
Manteiga com ou sem sal,Laticínios
Manteiga de garrafa,Laticínios
Margarina com ou sem sal,Laticínios
Queijo prato,Laticínios
Queijo colonial,Laticínios
Queijo de colônia,Laticínios
Queijo muçarela,Laticínios
Muçarela,Laticínios
Muçarela de búfala,Laticínios
Queijo de búfala,Laticínios
Queijo de reino,Laticínios
Queijo de minas,Laticínios
Queijo de manteiga,Laticínios
Quechimia,Laticínios
Queijo de coalho,Laticínios
Queijo canastra,Laticínios
Queijo ricota,Laticínios
Leite de soja com sabor ,Laticínios
Ades original,Laticínios
Queijo ralado,Laticínios
Queijo provolone,Laticínios
Queijo polenguinho,Laticínios
Requeijão,Laticínios
Queijo cremoso,Laticínios
Queijo não especificado,Laticínios
Leite com sabor,Laticínios
Leite achocolatado,Laticínios
Leite aRomãtizado,Laticínios
Bebida achocolatada,Laticínios
Nata,Laticínios
Queijo gorgonzola,Laticínios
Tofu,Laticínios
Leite de soja em pó,Laticínios
Leite de vaca desnatado,Laticínios
Leite de vaca semidesnatado,Laticínios
Leite não especificado pasteurizado,Laticínios
Iogurte de qualquer sabor light,Laticínios
Iogurte de qualquer sabor diet,Laticínios
Margarina light,Laticínios
Leite de vaca integral orgânico,Laticínios
Leite de vaca fresco orgânico,Laticínios
Leite semidesnatado de vaca orgânico,Laticínios
Creme de leite orgânico,Laticínios
Iogurte de qualquer sabor orgânico,Laticínios
Iogurte de qualquer sabor desnatado orgânico,Laticínios
Iogurte natural de qualquer sabor orgânico,Laticínios
Muçarela light,Laticínios
Queijo muçarela light,Laticínios
Leite de soja com sabor light,Laticínios
Ades light,Laticínios
Creme de leite light,Laticínios
Queijo prato light,Laticínios
Queijo de minas light,Laticínios
Queijo de coalho light,Laticínios
Queijo ricota light,Laticínios
Queijo ralado light,Laticínios
Queijo polenguinho light,Laticínios
Requeijão light,Laticínios
Queijo não especificado light,Laticínios
Leite achocolatado light,Laticínios
Bebida achocolatada light,Laticínios
Leite com sabor diet,Laticínios
Leite achocolatado diet,Laticínios
Bebida achocolatada diet,Laticínios
Leite de soja em pó light,Laticínios
Leite em pó com sabor,Laticínios
Manteiga com ou sem sal light,Laticínios
Queijo de minas frescal orgânico,Laticínios
Queijo de coalho frescal orgânico,Laticínios
Pão de hambúrguer,Panificados
Pão de sal,Panificados
Pão doce,Panificados
Chineque,Panificados
Chineque com farofa,Panificados
Pão de mel,Panificados
Panetone,Panificados
Bisnaguinha,Panificados
Croissant,Panificados
Pão de forma industrializado de qualquer marca,Panificados
Pão de queijo,Panificados
Pão de milho,Panificados
Pão integral,Panificados
Pão não especificado,Panificados
Torrada de qualquer pão,Panificados
Rosca doce,Panificados
Rosquinha doce,Panificados
Rosca salgada,Panificados
Rosquinha salgada,Panificados
Biscoito salgado,Panificados
Presuntinho biscoito,Panificados
Biscoito de polvilho,Panificados
Bolacha salgada,Panificados
Chips (salgadinhos),Panificados
Baconzitos,Panificados
Biscoito salgado integral,Panificados
Biscoito doce,Panificados
Cavaco chinês,Panificados
Sequilho,Panificados
Tareço,Panificados
Solda,Panificados
Brevidade,Panificados
Bolacha doce,Panificados
Maria maluca (bolacha doce),Panificados
Quebra-quebra,Panificados
Rocambole,Panificados
Cuca de qualquer tipo,Panificados
Bolo de milho,Panificados
Amidomil (bolinho),Panificados
Angusor de milho,Panificados
Grustoli (bolinho doce),Panificados
Bolo de aipim,Panificados
Bolo de tapioca,Panificados
Bolo de macaxeira,Panificados
Bolo de goma,Panificados
Bolo de batata-doce,Panificados
Bolo de arroz,Panificados
Bolo de cará,Panificados
Tortas doces de qualquer sabor,Panificados
Tortas salgadas de qualquer sabor,Panificados
Sonho,Panificados
Filhos (bolinho de farinha de trigo e ovos),Panificados
Bolo de chocolate,Panificados
Brioche,Panificados
Bolo de laranja,Panificados
Bolo de coco,Panificados
Bolo de cenoura,Panificados
Bolo de trigo,Panificados
Broa,Panificados
Biscoito recheado,Panificados
Waffer (biscoito),Panificados
Alfajores (biscoito),Panificados
Bolacha recheada,Panificados
Rosca recheada,Panificados
Rosquinha recheada de qualquer sabor,Panificados
Biscoito não especificado,Panificados
Crepe,Panificados
Pão diet (de forma industrializado),Panificados
Pão light (de forma industrializado),Panificados
Pão de queijo light,Panificados
Pão integral light,Panificados
Tortas doces de qualquer sabor light,Panificados
Tortas doces de qualquer sabor diet,Panificados
Filhos (bolinho de farinha de trigo e ovos) light,Panificados
Filhos (bolinho de farinha de trigo e ovos) diet,Panificados
Bolo de chocolate light,Panificados
Bolo de chocolate diet,Panificados
Bolo de laranja light,Panificados
Bolo de coco diet,Panificados
Bolo de cenoura diet,Panificados
Biscoito recheado light,Panificados
Biscoito waffer light,Panificados
Waffer (biscoito) light,Panificados
Alfajores (biscoito) light,Panificados
Bolacha recheada light,Panificados
Biscoito recheado diet,Panificados
Rosquinha recheada de qualquer sabor diet,Panificados
Bolacha recheada diet,Panificados
Pão doce diet,Panificados
Pão de mel diet,Panificados
Panetone diet,Panificados
Biscoito salgado light,Panificados
Bolacha salgada light,Panificados
Chips (salgadinhos) light,Panificados
Biscoito doce light,Panificados
Bolacha doce light,Panificados
Biscoito doce diet,Panificados
Bolacha doce diet,Panificados
Bolo de banana,Panificados
Carne-seca,Carnes industrializadas
Carne de charque,Carnes industrializadas
Jabá,Carnes industrializadas
Carne de sol,Carnes industrializadas
Carne do sertão,Carnes industrializadas
Hambúrguer de carne bovina,Carnes industrializadas
Copa de porco defumada,Carnes industrializadas
Bacon,Carnes industrializadas
Hambúrguer de frango,Carnes industrializadas
Salsicha no varejo,Carnes industrializadas
"Linguiça (suína, bovina, mista, etc.)",Carnes industrializadas
Linguiça de frango,Carnes industrializadas
Chouriço,Carnes industrializadas
Morcela,Carnes industrializadas
Morcilha,Carnes industrializadas
Paio,Carnes industrializadas
Mortadela,Carnes industrializadas
Salame,Carnes industrializadas
Salaminho,Carnes industrializadas
Blanquet de peru,Carnes industrializadas
Presunto ,Carnes industrializadas
Hambúrguer de peru,Carnes industrializadas
Hambúrguer não especificado,Carnes industrializadas
Apresuntado,Carnes industrializadas
Pururuca de porco,Carnes industrializadas
Pele de porco preparada (pururuca),Carnes industrializadas
"Patê (fígado, calabresa, frango, presunto, etc.)",Carnes industrializadas
Carne de aves defumada,Carnes industrializadas
Carne salgada não especificada,Carnes industrializadas
Mini chicken empanado,Carnes industrializadas
Mortadela light,Carnes industrializadas
Salsicha no varejo light,Carnes industrializadas
Salame light,Carnes industrializadas
Blanquet de peru light,Carnes industrializadas
Hambúrguer não especificado light,Carnes industrializadas
Refrigerante de cola tradicional,Bebidas não alcoólicas e infusões
Coca-cola tradicional,Bebidas não alcoólicas e infusões
Fanta laranja tradicional,Bebidas não alcoólicas e infusões
Sukita tradicional,Bebidas não alcoólicas e infusões
Refrigerante de guaraná tradicional,Bebidas não alcoólicas e infusões
Guaraná tradicional,Bebidas não alcoólicas e infusões
Sprit refrigerante tradicional,Bebidas não alcoólicas e infusões
Fanta uva tradicional,Bebidas não alcoólicas e infusões
Refrigerante de cola light,Bebidas não alcoólicas e infusões
Coca-cola light,Bebidas não alcoólicas e infusões
Refrigerante de cola diet,Bebidas não alcoólicas e infusões
Minuano tradicional,Bebidas não alcoólicas e infusões
Mate tradicional,Bebidas não alcoólicas e infusões
Bidu tradicional,Bebidas não alcoólicas e infusões
Fanta laranja light,Bebidas não alcoólicas e infusões
Refrigerante de guaraná light,Bebidas não alcoólicas e infusões
Guaraná light,Bebidas não alcoólicas e infusões
Tubaína tradicional,Bebidas não alcoólicas e infusões
Tubaína light,Bebidas não alcoólicas e infusões
Caldo de cana,Bebidas não alcoólicas e infusões
Garapá,Bebidas não alcoólicas e infusões
Água de coco,Bebidas não alcoólicas e infusões
Q-suco,Bebidas não alcoólicas e infusões
Q-refresko,Bebidas não alcoólicas e infusões
Nescafé,Bebidas não alcoólicas e infusões
Erva-mate,Bebidas não alcoólicas e infusões
Chimarrão,Bebidas não alcoólicas e infusões
Tereré,Bebidas não alcoólicas e infusões
Levedo de cerveja,Bebidas não alcoólicas e infusões
Refrigerante não especificado,Bebidas não alcoólicas e infusões
Cevada em pó,Bebidas não alcoólicas e infusões
Chocomilk ,Bebidas não alcoólicas e infusões
Água tônica tradicional,Bebidas não alcoólicas e infusões
"Chá diet (preto, camomila, erva-cidreira, capim-limão, etc.) ",Bebidas não alcoólicas e infusões
Paraguai refrigerante tradicional,Bebidas não alcoólicas e infusões
Gatorade,Bebidas não alcoólicas e infusões
Bebida energética,Bebidas não alcoólicas e infusões
"Chá (preto, camomila, erva-cidreira, capim-limão, etc.)",Bebidas não alcoólicas e infusões
Café solúvel capuccino ,Bebidas não alcoólicas e infusões
Refrigerante de guaraná diet,Bebidas não alcoólicas e infusões
Guaraná diet,Bebidas não alcoólicas e infusões
Refrigerante de limão diet,Bebidas não alcoólicas e infusões
Fanta uva light,Bebidas não alcoólicas e infusões
Mate light,Bebidas não alcoólicas e infusões
Água tônica light,Bebidas não alcoólicas e infusões
Paraguai refrigerante light,Bebidas não alcoólicas e infusões
Q-suco light,Bebidas não alcoólicas e infusões
Q-refresko light,Bebidas não alcoólicas e infusões
Q-suco diet,Bebidas não alcoólicas e infusões
Café capuccino solúvel light,Bebidas não alcoólicas e infusões
Café capuccino solúvel diet,Bebidas não alcoólicas e infusões
Água tônica diet,Bebidas não alcoólicas e infusões
Refrigerante de quinino dietético,Bebidas não alcoólicas e infusões
Chá mate orgânico,Bebidas não alcoólicas e infusões
Chimarrão orgânico,Bebidas não alcoólicas e infusões
Suco de clorofila,Bebidas não alcoólicas e infusões
Café com farinha,Bebidas não alcoólicas e infusões
Cerveja (com ou sem álcool),Bebidas alcoólicas
Chopp,Bebidas alcoólicas
Aguardente,Bebidas alcoólicas
Cachaça,Bebidas alcoólicas
Batida de qualquer sabor,Bebidas alcoólicas
Rum,Bebidas alcoólicas
Vodka,Bebidas alcoólicas
Uísque,Bebidas alcoólicas
Whisky,Bebidas alcoólicas
Champanhe,Bebidas alcoólicas
Sidra champanhe,Bebidas alcoólicas
Martini,Bebidas alcoólicas
Conhaque,Bebidas alcoólicas
Drink dreher,Bebidas alcoólicas
Licor de qualquer sabor,Bebidas alcoólicas
Cajuína,Bebidas alcoólicas
Vinho,Bebidas alcoólicas
Catuaba,Bebidas alcoólicas
Coquetel de frutas,Bebidas alcoólicas
Caipirinha,Bebidas alcoólicas
Bebida alcoólica ,Bebidas alcoólicas
Vinho orgânico,Bebidas alcoólicas
Cerveja (com ou sem álcool) light,Bebidas alcoólicas
Caxiri (aguardente de mandioca),Bebidas alcoólicas
Azeite de oliva,Óleos e gorduras
Óleo de soja,Óleos e gorduras
Banha suína,Óleos e gorduras
Banha bovina,Óleos e gorduras
Óleo não especificado,Óleos e gorduras
Óleo de dendê,Óleos e gorduras
Salgadinho,Miscelâneas
"Pastel (queijo, carne, palmito, etc.)",Miscelâneas
Croquete ,Miscelâneas
Coxinha ,Miscelâneas
"Empada (queijo, carne, camarão, etc.)",Miscelâneas
"Rissole  (queijo, carne, camarão, etc.)",Miscelâneas
Acarajé,Miscelâneas
Torresmo ,Miscelâneas
Quibe ,Miscelâneas
Abará (Bahia),Miscelâneas
Paçoca de carne de sol,Miscelâneas
Angu frito,Miscelâneas
Angu de milho ,Miscelâneas
Polenta ,Miscelâneas
Esfirra ,Miscelâneas
Esfirra de carne ,Miscelâneas
Esfirra de queijo ,Miscelâneas
Esfirra de ricota ,Miscelâneas
Esfirra de frango ,Miscelâneas
Enroladinho ,Miscelâneas
Bolinho de aipim,Miscelâneas
Bolinho de bacalhau,Miscelâneas
Cachorro-quente ,Miscelâneas
Hambúrguer (sanduíche),Miscelâneas
Cheeseburger ,Miscelâneas
Eggsburger ,Miscelâneas
Bauru ,Miscelâneas
Americano,Miscelâneas
Misto-quente ou frio ,Miscelâneas
Sanduíche de queijo prato,Miscelâneas
Sanduíche de salame,Miscelâneas
Sanduíche de presunto,Miscelâneas
Sanduíche de queijo prato com presunto,Miscelâneas
Sanduíche de mortadela,Miscelâneas
Sanduíche de queijo minas,Miscelâneas
Cheese egg,Miscelâneas
Cheese tudo,Miscelâneas
Sanduíche natural,Miscelâneas
Suco ,Miscelâneas
Suco de abacaxi ,Miscelâneas
Suco de acerola ,Miscelâneas
Suco de beterraba ,Miscelâneas
Suco de cupuaçu ,Miscelâneas
Suco de goiaba ,Miscelâneas
Suco de laranja ,Miscelâneas
Suco de laranja com banana ,Miscelâneas
Suco de laranja e beterraba ,Miscelâneas
Suco de laranja e cenoura ,Miscelâneas
Suco de laranja cenoura e beterraba,Miscelâneas
Suco de mamão ,Miscelâneas
Suco de manga ,Miscelâneas
Suco de maracujá ,Miscelâneas
Suco de melão ,Miscelâneas
Suco de morango ,Miscelâneas
Suco de pêssego ,Miscelâneas
Suco de pêssego em calda ,Miscelâneas
Vitamina ,Miscelâneas
Vitamina de banana ,Miscelâneas
Vitamina de banana com aveia ,Miscelâneas
Vitamina de mamão ,Miscelâneas
Vitamina de abacate ,Miscelâneas
Vitamina de morango ,Miscelâneas
Vitamina mista,Miscelâneas
Vitamina de maçã,Miscelâneas
Refresco ,Miscelâneas
Refresco de caju ,Miscelâneas
Refresco de groselha ,Miscelâneas
Refresco de laranja ,Miscelâneas
Refresco de maracujá ,Miscelâneas
Refresco de limão,Miscelâneas
"Salada ou verdura cozida, exceto de fruta",Miscelâneas
Salada de maionese ,Miscelâneas
Pizza ,Miscelâneas
Lasanha pronta light ,Miscelâneas
Nhoque ,Miscelâneas
Caneloni,Miscelâneas
Capeleti ,Miscelâneas
Ravioli ,Miscelâneas
Calzone ,Miscelâneas
Panqueca,Miscelâneas
Pizza calabreza,Miscelâneas
Pizza muçarela,Miscelâneas
Pizza presunto,Miscelâneas
Pizza portuguesa,Miscelâneas
Macarronada,Miscelâneas
Galeto ,Miscelâneas
Costela,Miscelâneas
Pipoca doce ou salgada ,Miscelâneas
Café ,Miscelâneas
Café com leite ,Miscelâneas
Café tipo expresso,Miscelâneas
Café tipo capuccino,Miscelâneas
Milho cozido ,Miscelâneas
Batata palito,Miscelâneas
Batata palha,Miscelâneas
Mungunzá ,Miscelâneas
Canjica ,Miscelâneas
Curau,Miscelâneas
Farofa ,Miscelâneas
"Mingau (fubá,  aveia, farinha, etc.) ",Miscelâneas
Tacacá ,Miscelâneas
Bolinho de coco ,Miscelâneas
Risoto,Miscelâneas
Vatapá ,Miscelâneas
Farofa pronta ,Miscelâneas
Caldo de carne ,Miscelâneas
Caldo-de-feijão ,Miscelâneas
Caldo de mocotó ,Miscelâneas
Baião de dois,Miscelâneas
Churrasco,Miscelâneas
Sushi,Miscelâneas
Salada de frutas ,Miscelâneas
"Sopa (legumes, carne, etc.)",Miscelâneas
Salpicão ,Miscelâneas
Charuto de repolho,Miscelâneas
Arroz à grega ,Miscelâneas
Arrumadinho,Miscelâneas
Bobó de camarão ,Miscelâneas
"Caruru (quiabo, amendoim, castanha de caju, camarão seco, etc.)",Miscelâneas
Cuscuz paulista ,Miscelâneas
"Empadão (queijo, frango, camarão, palmito, etc.)",Miscelâneas
Farofa de banana,Miscelâneas
Feijão-tropeiro ,Miscelâneas
Galinha com arroz ,Miscelâneas
Galinhada ,Miscelâneas
Moqueca baiana ,Miscelâneas
Omelete ,Miscelâneas
Pirão ,Miscelâneas
Quibebe ,Miscelâneas
Quiche,Miscelâneas
Suflê ,Miscelâneas
Tutu ,Miscelâneas
Moqueca capixaba ,Miscelâneas
Maniçoba ,Miscelâneas
Caldo verde ,Miscelâneas
Arroz de cuxá,Miscelâneas
Angu à baiana,Miscelâneas
Chocolate,Miscelâneas
Gemada ,Miscelâneas
Açaí com granola,Miscelâneas
Suco orgânico ,Miscelâneas
Suco de abacaxi orgânico ,Miscelâneas
Suco de acerola orgânico ,Miscelâneas
Suco de goiaba orgânico ,Miscelâneas
Suco de laranja orgânico ,Miscelâneas
Suco de laranja cenoura e beterraba orgânico ,Miscelâneas
Suco de manga orgânico ,Miscelâneas
Suco de maracujá orgânico ,Miscelâneas
Suco de morango orgânico ,Miscelâneas
Suco de pêssego orgânico ,Miscelâneas
Suco de pêssego em calda orgânico ,Miscelâneas
Pizza pronta light ,Miscelâneas
Macarrão pronto light ,Miscelâneas
Pizza portuguesa light,Miscelâneas
Farofa pronta light em pacote,Miscelâneas
Vaca atolada,Miscelâneas
"Salada ou verdura crua, exceto de fruta",Miscelâneas
Outros legumes cozidos,Miscelâneas
Café da manha,Miscelâneas
Prato de comida brasileira,Miscelâneas
Prato de comida do nordeste,Miscelâneas
Prato de comida do norte,Miscelâneas
Prato de comida do sudeste,Miscelâneas
Prato de comida do sul,Miscelâneas
Prato de comida do centro-oeste,Miscelâneas
Arroz com feijão,Miscelâneas
Pão com manteiga,Miscelâneas
Pão com margarina,Miscelâneas
Pão com ovo,Miscelâneas
"Carne com batata, inhame, batata-baroa ou aipim ",Miscelâneas
"Carne com legumes (exceto batata, inhame e aipim)",Miscelâneas
"Frango com batata, inhame batata-baroa ou aipim",Miscelâneas
"Frango com legumes (exceto batata, inhame e aipim)",Miscelâneas
Abobora com quiabo,Miscelâneas
Arroz carreteiro,Miscelâneas
Maria izabel,Miscelâneas
Arroz de leite,Miscelâneas
Arroz com mandioca,Miscelâneas
Arroz com ovo,Miscelâneas
Palma ,Miscelâneas
